exp_id,dataset,n_total,n_train,n_test,d,n_classes,model,kernel,L,m,P,split_id,acc,time_s,timestamp
exp3_scalability,SUSY,5000000,50000,50000,18,2,Linear SVM,varies,-1,-1,1000,0,0.78666,0.14141373399979784,2026-06-03T21:40:25.417446
exp3_scalability,SUSY,5000000,50000,50000,18,2,Linear SVM,varies,-1,-1,1000,1,0.7868,0.135325630000807,2026-06-03T21:40:26.609741
exp3_scalability,SUSY,5000000,50000,50000,18,2,Linear SVM,varies,-1,-1,1000,2,0.7868,0.13754713700109278,2026-06-03T21:40:27.790641
exp3_scalability,SUSY,5000000,50000,50000,18,2,Flat RFF RBF (L=0),varies,-1,-1,1000,0,0.80192,10.016240721999566,2026-06-03T21:40:38.847669
exp3_scalability,SUSY,5000000,50000,50000,18,2,Flat RFF RBF (L=0),varies,-1,-1,1000,1,0.80222,11.257363749999058,2026-06-03T21:40:51.144431
exp3_scalability,SUSY,5000000,50000,50000,18,2,Flat RFF RBF (L=0),varies,-1,-1,1000,2,0.80156,9.565070823999122,2026-06-03T21:41:01.753842
exp3_scalability,SUSY,5000000,50000,50000,18,2,Flat RFF Arc (L=0),varies,-1,-1,1000,0,0.79918,8.653851593000581,2026-06-03T21:41:11.457393
exp3_scalability,SUSY,5000000,50000,50000,18,2,Flat RFF Arc (L=0),varies,-1,-1,1000,1,0.8002,8.694595995000782,2026-06-03T21:41:21.202064
exp3_scalability,SUSY,5000000,50000,50000,18,2,Flat RFF Arc (L=0),varies,-1,-1,1000,2,0.79854,8.771409516999483,2026-06-03T21:41:31.044488
exp3_scalability,SUSY,5000000,50000,50000,18,2,ML-MSVM RBF m=2 L=2,varies,-1,-1,1000,0,0.8012,21.600189939999836,2026-06-03T21:41:53.719843
exp3_scalability,SUSY,5000000,50000,50000,18,2,ML-MSVM RBF m=2 L=2,varies,-1,-1,1000,1,0.80176,22.679662373999236,2026-06-03T21:42:17.455118
exp3_scalability,SUSY,5000000,50000,50000,18,2,ML-MSVM RBF m=2 L=2,varies,-1,-1,1000,2,0.80192,19.422353777999888,2026-06-03T21:42:37.923317
exp3_scalability,SUSY,5000000,50000,50000,18,2,ML-MSVM Arc m=1 L=1,varies,-1,-1,1000,0,0.79922,8.67105860599986,2026-06-03T21:42:47.656673
exp3_scalability,SUSY,5000000,50000,50000,18,2,ML-MSVM Arc m=1 L=1,varies,-1,-1,1000,1,0.7999,8.727398714998344,2026-06-03T21:42:57.443865
exp3_scalability,SUSY,5000000,50000,50000,18,2,ML-MSVM Arc m=1 L=1,varies,-1,-1,1000,2,0.79864,8.788523377999809,2026-06-03T21:43:07.287634
exp3_scalability,SUSY,5000000,100000,50000,18,2,Linear SVM,varies,-1,-1,1000,0,0.78662,0.33998353599963593,2026-06-03T21:43:08.711455
exp3_scalability,SUSY,5000000,100000,50000,18,2,Linear SVM,varies,-1,-1,1000,1,0.78718,0.3402410430007876,2026-06-03T21:43:10.108004
exp3_scalability,SUSY,5000000,100000,50000,18,2,Linear SVM,varies,-1,-1,1000,2,0.78712,0.30777082799977507,2026-06-03T21:43:11.454126
