exp_id,dataset,n_total,n_train,n_test,d,n_classes,model,kernel,L,m,P,split_id,acc,time_s,timestamp
exp4_lcurves,MNIST,70000,500,5000,784,10,Linear SVM,,-1,-1,1000,0,0.7462,31.243479911994655,2026-05-31T11:23:24.396128
exp4_lcurves,MNIST,70000,500,5000,784,10,Linear SVM,,-1,-1,1000,1,0.7548,32.892924104991835,2026-05-31T11:23:57.308614
exp4_lcurves,MNIST,70000,500,5000,784,10,Linear SVM,,-1,-1,1000,2,0.7574,33.5188969859737,2026-05-31T11:24:30.849462
exp4_lcurves,MNIST,70000,500,5000,784,10,RBF SVM (exact),,-1,-1,1000,0,0.81,0.7992404729593545,2026-05-31T11:24:31.671379
exp4_lcurves,MNIST,70000,500,5000,784,10,RBF SVM (exact),,-1,-1,1000,1,0.8164,0.8186371240299195,2026-05-31T11:24:32.504045
exp4_lcurves,MNIST,70000,500,5000,784,10,RBF SVM (exact),,-1,-1,1000,2,0.8036,0.87475064501632,2026-05-31T11:24:33.392188
exp4_lcurves,MNIST,70000,500,5000,784,10,Flat RFF RBF (L=0),,-1,-1,1000,0,0.8112,0.6382101409835741,2026-05-31T11:24:34.045856
exp4_lcurves,MNIST,70000,500,5000,784,10,Flat RFF RBF (L=0),,-1,-1,1000,1,0.8056,0.7029981350060552,2026-05-31T11:24:34.778131
exp4_lcurves,MNIST,70000,500,5000,784,10,Flat RFF RBF (L=0),,-1,-1,1000,2,0.814,0.6390847569564357,2026-05-31T11:24:35.443713
exp4_lcurves,MNIST,70000,500,5000,784,10,ML-MSVM RBF m=2 L=2,,-1,-1,1000,0,0.814,1.8062095560017042,2026-05-31T11:24:37.278981
exp4_lcurves,MNIST,70000,500,5000,784,10,ML-MSVM RBF m=2 L=2,,-1,-1,1000,1,0.8152,1.7968058609985746,2026-05-31T11:24:39.167713
exp4_lcurves,MNIST,70000,500,5000,784,10,ML-MSVM RBF m=2 L=2,,-1,-1,1000,2,0.8154,1.455606745032128,2026-05-31T11:24:40.649442
exp4_lcurves,MNIST,70000,500,5000,784,10,ML-MSVM Arc m=1 L=1,,-1,-1,1000,0,0.8294,0.6573889250284992,2026-05-31T11:24:41.336694
exp4_lcurves,MNIST,70000,500,5000,784,10,ML-MSVM Arc m=1 L=1,,-1,-1,1000,1,0.822,0.47220185003243387,2026-05-31T11:24:41.841427
exp4_lcurves,MNIST,70000,500,5000,784,10,ML-MSVM Arc m=1 L=1,,-1,-1,1000,2,0.8238,0.6090893180225976,2026-05-31T11:24:42.481377
exp4_lcurves,MNIST,70000,1000,5000,784,10,Linear SVM,,-1,-1,1000,0,0.7722,99.80659736599773,2026-05-31T11:26:22.324808
exp4_lcurves,MNIST,70000,1000,5000,784,10,Linear SVM,,-1,-1,1000,1,0.7838,87.19433518400183,2026-05-31T11:27:49.542820
exp4_lcurves,MNIST,70000,1000,5000,784,10,Linear SVM,,-1,-1,1000,2,0.7964,88.22729091299698,2026-05-31T11:29:17.795492
exp4_lcurves,MNIST,70000,1000,5000,784,10,RBF SVM (exact),,-1,-1,1000,0,0.8518,1.790755127032753,2026-05-31T11:29:19.607376
exp4_lcurves,MNIST,70000,1000,5000,784,10,RBF SVM (exact),,-1,-1,1000,1,0.8644,1.9385142719838768,2026-05-31T11:29:21.559926
exp4_lcurves,MNIST,70000,1000,5000,784,10,RBF SVM (exact),,-1,-1,1000,2,0.8548,1.8648564660106786,2026-05-31T11:29:23.442555
exp4_lcurves,MNIST,70000,1000,5000,784,10,Flat RFF RBF (L=0),,-1,-1,1000,0,0.8558,0.9946500309742987,2026-05-31T11:29:24.455174
exp4_lcurves,MNIST,70000,1000,5000,784,10,Flat RFF RBF (L=0),,-1,-1,1000,1,0.8446,0.9556036830181256,2026-05-31T11:29:25.436503
exp4_lcurves,MNIST,70000,1000,5000,784,10,Flat RFF RBF (L=0),,-1,-1,1000,2,0.855,1.0569068070035428,2026-05-31T11:29:26.518532
exp4_lcurves,MNIST,70000,1000,5000,784,10,ML-MSVM RBF m=2 L=2,,-1,-1,1000,0,0.8508,2.7599596009822562,2026-05-31T11:29:29.305633
exp4_lcurves,MNIST,70000,1000,5000,784,10,ML-MSVM RBF m=2 L=2,,-1,-1,1000,1,0.8526,2.9573042709962465,2026-05-31T11:29:32.291476
exp4_lcurves,MNIST,70000,1000,5000,784,10,ML-MSVM RBF m=2 L=2,,-1,-1,1000,2,0.8502,2.844793355965521,2026-05-31T11:29:35.163487
exp4_lcurves,MNIST,70000,1000,5000,784,10,ML-MSVM Arc m=1 L=1,,-1,-1,1000,0,0.8528,0.9498603420215659,2026-05-31T11:29:36.139539
exp4_lcurves,MNIST,70000,1000,5000,784,10,ML-MSVM Arc m=1 L=1,,-1,-1,1000,1,0.8634,0.8903165799565613,2026-05-31T11:29:37.060218
exp4_lcurves,MNIST,70000,1000,5000,784,10,ML-MSVM Arc m=1 L=1,,-1,-1,1000,2,0.855,0.8919483940117061,2026-05-31T11:29:37.981522
